id,name,address1,address2,city,zip_code,review_count,categories,rating,price
9f81aef27a,Vietnam House,642 Eddy St, , San Francisco,94109,17,"Vietnamese, Noodles, Healthy",5,$
9ff23ddd26,Boo Koo,25 Miller Ave, , San Francisco,94941,new,Asian,0,$
a1259b8c69,La Boulangerie - Hayes Valley,500 Hayes St, , San Francisco,94102,23,Breakfast,4,$
a1586f857a,Old Siam,201 Ellis St, , San Francisco,94102,13,"Thai, Asian, Noodles",5,$
a15c1e37ac,Dough,1455 Market St, , San Francisco,94103,new,"Pizza, American, Italian",0,$
a18b0123c8,El Pipila,879 Brannan Street, , San Francisco,94103,new,"Mexican, Latin",0,$
a2fc202f5d,Freekeh,3126 16th Street, , San Francisco,94103,16,"Halal, Kebab, Middle",5,$
a36dbdd29b,Ayola (Kearny),327 Kearny St, , San Francisco,94108,new,"Mediterranean, Greek, Halal, Vegetarian, Salads, Healthy",0,$
a38ed8d86d,Mandarin House SF,3452 Mission St, , San Francisco,94110,93,"Chinese, Noodles, Seafood",5,$
a45c194345,The Meltdown (816 Mission St),816 Mission St, , San Francisco,94103,12,"American, Sandwich, Comfort",5,$
a47dad260c,Hazel's Kitchen,1319 18th St, , San Francisco,94107,18,"Sandwiches, Healthy, Breakfast",5,$
a4f57044c9,Local Kitchen & Wine Merchant,330 1st St, , San Francisco,94105,new,"Pizza, Comfort",0,$
a5a4fdc8d8,Burma Love Downtown,8 Mint Plaza, , San Francisco,94103,100+,South,0,$
a68696b2fd,Tick-Tock Tikka House,83 Eddy St., , San Francisco,94102,new,"Indian, Indian",0,$
a85e2000cb,KONARQ,5959 Shellmound Street, , San Francisco,94608,new,"Indian, Vegetarian, Asian",0,$
a901f56375,Indian Oven,233 Fillmore St, , San Francisco,94117,new,Indian,0,$
a94e70d39f,Mozzarella Di Bufala,69 W Portal Ave, , San Francisco,94127,30,"Brazilian, Pizza, Italian, Latin",5,$
a95e601b05,F#ck Carbs (SOMA),60 Morris Street, , San Francisco,94107,16,"Healthy, Salads, Vegan, Gluten",4,$
aa6ab827d0,Fat Beli Deli,2598 San Bruno Ave, , San Francisco,94134,17,"Sandwiches, American, Healthy",5,$
ac6e95333f,Nojo Ramen Tavern,231 Franklin Street, , San Francisco,94102,50,"Ramen, Japanese, Comfort",5,$
ad92cdf1fc,Gluten Free Pizza Garden - SOMA,60 Morris St, , San Francisco,94107,new,"Pizza, American, Italian, Gluten",0,$
af5b37ea07,Los amigos restaurant,530 Valencia St, , San Francisco,94110,12,"Mexican, Salvadorian, Tacos",5,$
afc1ebd078,Na Ya Dessert Cafe (Hayes Valley),535 Octavia Street, , San Francisco,94102,35,"Desserts, Japanese",5,$
b07970f66f,Chef Li's Cafe,2726 San Bruno Ave, , San Francisco,94134,12,"Chinese, Asian, Asian",5,$
b1864f777a,La Mediterranee,2210 Fillmore St, , San Francisco,94115,73,"Mediterranean, Greek, Vegetarian, Family",5,$
b4f5de9a22,The Epicurean Trader (Hayes St.),465 Hayes Street, , San Francisco,94102,new,"Sandwiches, American, Healthy",0,$
b51ed15d2e,Brothers Pizza,3627 Taraval St, , San Francisco,94116,new,"Pizza, American, Italian, Alcohol",0,$
b56e56b251,Proper Food - 588 Mission,588 Mission Bay Boulevard North, , San Francisco,94158,19,"Healthy, Salads, Vegetarian, Sandwich, American",5,$
b59844a94a,Mission Picnic,983 Valencia Street, , San Francisco,94110,new,"Sandwich, Salads, Breakfast",0,$
b611419016,Mission Hunan Restaurant,2960 16th St, , San Francisco,94103,56,Asian,5,$
b68de2975f,AK Subs,397 8th St, , San Francisco,94103,17,"American, Sandwich, Salads, Burgers, Healthy",5,$
b749d5e645,Aditi Indian Cuisine,1101 Valencia St, , San Francisco,94110,95,"Indian, Vegetarian, Asian, Healthy, Group",5,$
b7639f3742,What The Cluck (Oakland),815 Washington Street, B, San Francisco,94607,12,"Asian, Thai, Singaporean, Chicken, Rice",4,$
ba1630ba57,"Subway (1400 Mission Street, 131)",1400 Mission Street,131, San Francisco,94103,40,Fast,4,$
bb2b7b58ae,Amoura,713 Linden Ave, , San Francisco,94080,new,"Mediterranean, Greek, Chicken, Vegetarian, Breakfast",0,$
bc14baa46c,Juicy's Cheesesteaks by Fresco Inc,1338 Polk St, , San Francisco,94109,new,"American, Cheesesteak, Sandwiches",0,$
bd6fa4c0e3,Vegan Plantasia,60 Morris Street, , San Francisco,94107,16,"Thai, Asian, Noodles, Group",5,$
bdbdf54963,Bamboo Asia - California St,311 California St, , San Francisco,94104,new,"Vietnamese, Noodles, Healthy, Japanese, Sushi, Indian, Asian",0,$
c03524d14c,Gunpowder Cafe,83 Eddy St., , San Francisco,94102,new,"Indian, Indian",0,$
c18ac55d01,Addis Ethiopian Restaurant,6100 Telegraph Ave, , San Francisco,94609,11,"African, Ethiopian, Vegetarian",4,$
c2200c5ef6,Ethiopia Restaurant,2955 Telegraph Ave, , San Francisco,94705,new,"Ethiopian, Black",0,$
c22df80613,Kennedy's Indian Curry House,1040 Columbus Ave, , San Francisco,94133,new,"Indian, Bar",0,$
c298ea1a86,Morty’s Delicatessen,280 Golden Gate Ave, , San Francisco,94102,new,"Sandwiches, Burgers, Salads, Deli, American, Group",0,$
c5cab93d6b,ZERO&  Hayes,437 Hayes Street, , San Francisco,94102,46,Bubble,5,$
c62e047dff,Palmyra,700 Haight St, , San Francisco,94117,48,Middle,5,$
c6cff5e369,Gusto Pinsa Romana,1000 Bush Street, , San Francisco,94109,25,"Pizza, American, Italian, Vegetarian",5,$
c726d070f1,The American Grilled Cheese Kitchen,1 S Park St, , San Francisco,94107,new,"American, Western, Sandwich",0,$
c7aa5073a5,Grubstakes Clam Chowder House,1525 Pine St, , San Francisco,94109,17,"Soup, Salads, Burgers, Healthy, Comfort",5,$
c918bcf07c,Bun Mee,2015 Fillmore St, , San Francisco,94115,52,Asian,5,$
c94471efa0,Ramen House,2623 San Bruno Avenue, , San Francisco,94134,new,"Japanese, Asian, Ramen",0,$
c9ff22c0cc,Miette Patisserie & Confiserie (Hayes Valley),449 Octavia Street, , San Francisco,94102,new,"Bakery, Desserts, Breakfast",0,$
